sentence_id,token_id,semiotic,before,class,after,truth
1117,15,ELECTRONIC,//web.archive.org/web/20110105051516/http://www.fairfield.edu/x18852.html,ToBeNormalized,s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter e_letter b_letter dot a_letter r_letter c_letter h_letter i_letter v_letter e_letter dot o_letter r_letter g_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter e_letter b_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter t_letter w_letter o_letter  _letter o_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter  _letter o_letter n_letter e_letter  _letter o_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter,s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter e_letter b_letter dot a_letter r_letter c_letter h_letter i_letter v_letter e_letter dot o_letter r_letter g_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter e_letter b_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter t_letter w_letter o_letter  _letter o_letter  _letter o_letter n_letter e_letter  _letter o_letter n_letter e_letter  _letter o_letter  _letter o_letter n_letter e_letter  _letter o_letter  _letter f_letter i_letter v_letter e_letter  _letter o_letter  _letter f_letter i_letter v_letter e_letter  _letter o_letter n_letter e_letter  _letter f_letter i_letter v_letter e_letter  _letter o_letter n_letter e_letter  _letter s_letter i_letter x_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter h_letter  _letter t_letter  _letter t_letter  _letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter  _letter w_letter  _letter w_letter dot f_letter a_letter i_letter r_letter f_letter i_letter e_letter l_letter d_letter dot e_letter  _letter d_letter  _letter u_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter x_letter  _letter o_letter n_letter e_letter  _letter e_letter i_letter g_letter h_letter t_letter  _letter e_letter i_letter g_letter h_letter t_letter  _letter f_letter i_letter v_letter e_letter  _letter t_letter w_letter o_letter dot h_letter  _letter t_letter  _letter m_letter  _letter l_letter
1121,10,PLAIN,Abba,ToBeNormalized,a b b a,Abba
1124,7,PLAIN,Yaesu,ToBeNormalized,y a e s u,Yaesu
1165,7,PLAIN,ser,ToBeNormalized,s e r,ser
1189,7,PLAIN,Oh,ToBeNormalized,o h,Oh
1193,9,PLAIN,centro,ToBeNormalized,center,centro
1203,2,PLAIN,CHARLES,ToBeNormalized,c h a r l e s,CHARLES
1203,4,PLAIN,MOODY,ToBeNormalized,m o o d y,MOODY
1211,20,ELECTRONIC,nethttp://www.pamirian.ru/Wakhi_language_transition.pdfAli,ToBeNormalized,n_letter e_letter t_letter h_letter t_letter t_letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter  _letter w_letter  _letter w_letter dot p_letter a_letter m_letter i_letter r_letter i_letter a_letter n_letter dot r_letter  _letter u_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter a_letter k_letter h_letter i_letter  _letter u_letter n_letter d_letter e_letter r_letter s_letter c_letter o_letter r_letter e_letter  _letter p_letter a_letter r_letter e_letter n_letter t_letter  _letter u_letter n_letter d_letter e_letter r_letter s_letter c_letter o_letter r_letter e_letter  _letter p_letter a_letter r_letter e_letter n_letter t_letter  _letter u_letter n_letter d_letter e_letter r_letter s_letter c_letter o_letter r_letter e_letter  _letter p_letter a_letter r_letter e_letter n_letter t_letter  _letter u_letter n_letter d_letter e_letter r_letter s_letter c_letter o_letter r_letter e_letter  _letter p_letter a_letter r_letter e_letter n_letter t_letter  _letter u_letter n_letter d_letter,n_letter  _letter e_letter  _letter t_letter  _letter h_letter  _letter t_letter  _letter t_letter  _letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter  _letter w_letter  _letter w_letter dot p_letter a_letter m_letter i_letter r_letter i_letter a_letter n_letter dot r_letter  _letter u_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter a_letter k_letter h_letter i_letter  _letter u_letter n_letter d_letter e_letter r_letter s_letter c_letter o_letter r_letter e_letter  _letter l_letter a_letter n_letter g_letter u_letter a_letter g_letter e_letter  _letter u_letter n_letter d_letter e_letter r_letter s_letter c_letter o_letter r_letter e_letter  _letter t_letter r_letter a_letter n_letter s_letter i_letter t_letter i_letter o_letter n_letter dot p_letter d_letter f_letter a_letter l_letter i_letter
1243,13,PLAIN,IZMIR,ToBeNormalized,i z m i r,IZMIR
1252,6,PUNCT,-,ToBeNormalized,to,-
1289,2,ELECTRONIC,http://www.knchr.org/dmdocuments/KNCHR%20doc.pdfFollowing,ToBeNormalized,h_letter  _letter t_letter  _letter t_letter  _letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter  _letter w_letter  _letter w_letter dot k_letter  _letter n_letter  _letter c_letter  _letter h_letter  _letter r_letter dot o_letter r_letter g_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter d_letter  _letter m_letter  _letter d_letter o_letter c_letter u_letter m_letter e_letter n_letter t_letter s_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter k_letter  _letter n_letter  _letter c_letter  _letter h_letter  _letter r_letter  _letter s_letter i_letter x_letter d_letter o_letter c_letter dot p_letter  _letter d_letter  _letter f_letter  _letter f_letter o_letter l_letter l_letter o_letter n_letter i_letter n_letter g_letter,h_letter  _letter t_letter  _letter t_letter  _letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter  _letter w_letter  _letter w_letter dot k_letter  _letter n_letter  _letter c_letter  _letter h_letter  _letter r_letter dot o_letter r_letter g_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter d_letter m_letter d_letter o_letter c_letter u_letter m_letter e_letter n_letter t_letter s_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter k_letter  _letter n_letter  _letter c_letter  _letter h_letter  _letter r_letter  _letter p_letter e_letter r_letter c_letter e_letter n_letter t_letter  _letter t_letter w_letter e_letter n_letter t_letter y_letter  _letter d_letter o_letter c_letter dot p_letter d_letter f_letter f_letter o_letter l_letter l_letter o_letter w_letter i_letter n_letter g_letter
1302,8,PLAIN,Abor,ToBeNormalized,a b o r,Abor
1343,6,PLAIN,NeXTSTEP,ToBeNormalized,n e x t s t e p,NeXTSTEP
1357,10,PLAIN,CARICOM,ToBeNormalized,c a r i c o m,CARICOM
1369,0,PLAIN,CY,ToBeNormalized,c y,CY
1385,4,PLAIN,Bodour,ToBeNormalized,b,Bodour
1388,11,PLAIN,KHAD,ToBeNormalized,k h a d,KHAD
1410,9,PLAIN,DEFRA,ToBeNormalized,d e f r a,DEFRA
1411,15,LETTERS,subg,RemainSelf,subg,s u b g
1414,2,DIGIT,450,ToBeNormalized,four hundred fifty,four five o
1427,6,PLAIN,SM,ToBeNormalized,s m,SM
1439,11,PLAIN,odor,ToBeNormalized,o d o r,odor
1456,18,PLAIN,est,ToBeNormalized,e s t,est
1475,0,PLAIN,Ava,ToBeNormalized,a v a,Ava
1520,6,DATE,2017/,ToBeNormalized,two thousand seventeen,twenty seventeen
1520,7,DATE,2016,ToBeNormalized,two thousand sixteen,twenty sixteen
1584,3,PLAIN,SPOILERS,ToBeNormalized,s p o i l e r s,SPOILERS
1612,16,PLAIN,ski,ToBeNormalized,s k i,ski
1626,1,PLAIN,mrs,ToBeNormalized,mister,mrs
1631,6,PLAIN,vols,ToBeNormalized,v o l s,vols
1681,4,PLAIN,Chu,ToBeNormalized,c h u,Chu
1699,7,ELECTRONIC,http://www.yafc-ftp.com/The,ToBeNormalized,h_letter  _letter t_letter  _letter t_letter  _letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter  _letter w_letter  _letter w_letter dot y_letter a_letter f_letter c_letter  _letter d_letter a_letter s_letter h_letter  _letter f_letter t_letter p_letter dot c_letter o_letter m_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter t_letter h_letter e_letter,h_letter  _letter t_letter  _letter t_letter  _letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter  _letter w_letter  _letter w_letter dot y_letter  _letter a_letter  _letter f_letter  _letter c_letter  _letter d_letter a_letter s_letter h_letter  _letter f_letter  _letter t_letter  _letter p_letter dot c_letter o_letter m_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter t_letter h_letter e_letter
1707,0,PLAIN,FAO,ToBeNormalized,f a o,FAO
1726,11,MONEY,88.5 million HRK,ToBeNormalized,eighty eight point five million yen,eighty eight point five million croatian kunas
1785,1,LETTERS,Oolaa,RemainSelf,Oolaa,o o l a a
1813,9,PLAIN,Koi,ToBeNormalized,k o i,Koi
1831,5,LETTERS,xSnxTe,RemainSelf,xSnxTe,x s n x t e
1892,5,PLAIN,CRI,ToBeNormalized,c r i,CRI
1900,0,PLAIN,CRI,ToBeNormalized,c r i,CRI
1901,0,PLAIN,APRA,ToBeNormalized,a p r a,APRA
1903,6,PLAIN,SnO2,ToBeNormalized,s n o two,tin four oxide
1925,0,PLAIN,CART,ToBeNormalized,c a r t,CART
1925,12,PLAIN,CART,ToBeNormalized,c a r t,CART
1940,8,PLAIN,CRIs,ToBeNormalized,c r i's,CRIs
1967,0,LETTERS,Ilir,RemainSelf,Ilir,i l i r
1983,17,LETTERS,anth,RemainSelf,anth,a n t h
2027,2,PLAIN,obra,ToBeNormalized,o b r a,obra
2033,2,PLAIN,Mac's,ToBeNormalized,m a c's,Mac's
2109,3,PLAIN,millimetre,RemainSelf,millimetre,millimeter
2127,8,PLAIN,Ava,ToBeNormalized,a v a,Ava
2132,5,PLAIN,mrs,ToBeNormalized,m r s,mrs
2153,17,PLAIN,Stem,ToBeNormalized,s t e m,Stem
2153,19,PLAIN,ells,ToBeNormalized,e l l s,ells
2154,10,PLAIN,SAT,ToBeNormalized,s a t,SAT
2155,5,PLAIN,RY,ToBeNormalized,r y,RY
2163,12,PLAIN,Sept,ToBeNormalized,s e p t,Sept
2186,16,PLAIN,I'd,ToBeNormalized,i d,I'd
2191,2,PLAIN,ABS,ToBeNormalized,a b s,ABS
2203,1,PLAIN,THE,ToBeNormalized,t h e,THE
2203,3,PLAIN,BEHIND,ToBeNormalized,b e h i n d,BEHIND
2203,4,PLAIN,AVAAZ,ToBeNormalized,a v a a z,AVAAZ
2270,7,DIGIT,21770,ToBeNormalized,twenty one thousand seven hundred seventy,two one seven seven o
2274,1,PLAIN,WO,ToBeNormalized,w o,WO
2274,3,FRACTION,2006/118205,ToBeNormalized,two thousand six one thousand eight hundred fifths,two thousand six one hundred eighteen thousand two hundred fifths
2275,1,PUNCT,-,ToBeNormalized,to,-
2298,22,PLAIN,Oh,ToBeNormalized,o h,Oh
2320,12,PLAIN,ms,ToBeNormalized,m s,ms
2325,5,PLAIN,GLUT,ToBeNormalized,g l u t,GLUT
2344,5,PLAIN,APRA,ToBeNormalized,a p r a,APRA
2373,12,PLAIN,Bok,ToBeNormalized,b o k,Bok
2398,4,PUNCT,:,ToBeNormalized,to,:
2402,10,PLAIN,POW,ToBeNormalized,p o w,POW
2402,12,PLAIN,MIA,ToBeNormalized,m i a,MIA
2442,17,PLAIN,NOW,ToBeNormalized,n o w,NOW
2454,4,VERBATIM,-,ToBeNormalized,to,-
2466,1,PLAIN,YOU,ToBeNormalized,y o u,YOU
2505,1,PUNCT,-,ToBeNormalized,to,-
2505,3,VERBATIM,-,ToBeNormalized,to,-
2523,5,PLAIN,Of,ToBeNormalized,o f,Of
2528,3,PLAIN,RAFT,ToBeNormalized,r a f t,RAFT
2536,9,PLAIN,polarisation,ToBeNormalized,globalization,polarization
2542,1,PLAIN,ARTHUR,ToBeNormalized,a r t h u r,ARTHUR
2551,3,PLAIN,ES,ToBeNormalized,e s,ES
2566,9,PLAIN,catalysed,ToBeNormalized,catalogs,catalysed
2582,8,PLAIN,EVA,ToBeNormalized,e v a,EVA
2593,0,LETTERS,Akl,RemainSelf,Akl,a k l
2631,4,PLAIN,Spa,ToBeNormalized,s p a,Spa
2635,5,LETTERS,I,ToBeNormalized,one,I
2649,3,PLAIN,Ozat,ToBeNormalized,o z a t,Ozat
2650,15,PLAIN,AMS,ToBeNormalized,a m s,AMS
2697,5,PLAIN,AND,ToBeNormalized,a n d,AND
2701,1,ELECTRONIC,http://www.business-humanrights.org/Links/Repository/308254/,ToBeNormalized,h_letter  _letter t_letter  _letter t_letter  _letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter  _letter w_letter  _letter w_letter dot b_letter u_letter s_letter i_letter n_letter e_letter s_letter s_letter  _letter d_letter a_letter s_letter h_letter  _letter h_letter u_letter m_letter a_letter n_letter r_letter i_letter g_letter h_letter t_letter s_letter dot o_letter r_letter g_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter l_letter i_letter n_letter k_letter s_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter r_letter e_letter p_letter o_letter s_letter i_letter t_letter o_letter r_letter y_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter t_letter h_letter r_letter e_letter e_letter  _letter s_letter l_letter a_letter s_letter h_letter,h_letter  _letter t_letter  _letter t_letter  _letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter w_letter  _letter w_letter  _letter w_letter dot b_letter u_letter s_letter i_letter n_letter e_letter s_letter s_letter  _letter d_letter a_letter s_letter h_letter  _letter h_letter u_letter m_letter a_letter n_letter r_letter i_letter g_letter h_letter t_letter s_letter dot o_letter r_letter g_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter l_letter i_letter n_letter k_letter s_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter r_letter e_letter p_letter o_letter s_letter i_letter t_letter o_letter r_letter y_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter t_letter h_letter r_letter e_letter e_letter  _letter o_letter  _letter e_letter i_letter g_letter h_letter t_letter  _letter t_letter w_letter o_letter  _letter f_letter i_letter v_letter e_letter  _letter f_letter o_letter u_letter r_letter  _letter s_letter l_letter a_letter s_letter h_letter
2747,0,PLAIN,Izadi,ToBeNormalized,i z a d i,Izadi
2764,1,PLAIN,aBontodBuenasuerteIntusanJose,ToBeNormalized,a_letter b o n t o d b u e n a s u e r t e i n t u s a n j o s e,aBontodBuenasuerteIntusanJose
2781,9,PUNCT,-,ToBeNormalized,to,-
2784,3,PLAIN,Luh,ToBeNormalized,l u h,Luh
2816,6,PLAIN,von,ToBeNormalized,v o n,von
2816,16,TELEPHONE,40 (1969) 111-124,ToBeNormalized,four o sil one nine six nine sil one four sil one two sil one four,four o sil one nine six nine sil one one one sil one two four
2880,2,PLAIN,Suzi,ToBeNormalized,s u z i,Suzi
2891,9,PLAIN,I,ToBeNormalized,the first,I
2906,11,PLAIN,ACS,ToBeNormalized,a c s,ACS
2949,6,PLAIN,synagogues,ToBeNormalized,synagog,synagogues
2979,7,PLAIN,SA,ToBeNormalized,s a,SA
2979,16,PLAIN,SA,ToBeNormalized,s a,SA
2981,9,PLAIN,NURBS,ToBeNormalized,n u r b s,NURBS
3024,13,DIGIT,11,ToBeNormalized,eleven,one one
3026,11,PLAIN,FAN,ToBeNormalized,f a n,FAN
3043,15,PLAIN,civilise,RemainSelf,civilise,civilize
3055,8,PLAIN,oak,ToBeNormalized,o a k,oak
3060,5,PLAIN,ASTRO,ToBeNormalized,a s t r o,ASTRO
3085,3,PLAIN,Pi,ToBeNormalized,p i,Pi
3120,7,PLAIN,LEED,ToBeNormalized,l e e d,LEED
3125,9,PLAIN,Eslov,ToBeNormalized,e s l o v,Eslov
3132,10,PUNCT,-,ToBeNormalized,to,-
3157,24,PLAIN,Sept,ToBeNormalized,s e p t,Sept
3162,1,ELECTRONIC,informationhttp://dynamic.stlouis-mo.gov/census/neighborhood.cfmhttp://dynamic.stlouis-mo.gov/census/neigh_comp.cfm,ToBeNormalized,i_letter n_letter f_letter o_letter r_letter m_letter a_letter t_letter i_letter o_letter n_letter h_letter t_letter t_letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter c_letter e_letter n_letter s_letter u_letter s_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter n_letter e_letter n_letter g_letter h_letter i_letter c_letter r_letter h_letter o_letter o_letter d_letter dot c_letter  _letter s_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter c_letter e_letter n_letter s_letter u_letter s_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter n_letter e_letter i_letter g_letter h_letter i_letter c_letter r_letter h_letter o_letter o_letter d_letter dot c_letter  _letter s_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter c_letter e_letter n_letter s_letter u_letter s_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter n_letter e_letter i_letter g_letter h_letter i_letter c_letter o_letter m_letter p_letter dot c_letter  _letter f_letter  _letter m_letter,i_letter  _letter n_letter  _letter f_letter  _letter o_letter  _letter r_letter  _letter m_letter  _letter a_letter  _letter t_letter  _letter i_letter  _letter o_letter  _letter n_letter  _letter h_letter  _letter t_letter  _letter t_letter  _letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter d_letter y_letter n_letter a_letter m_letter i_letter c_letter dot s_letter t_letter l_letter o_letter u_letter i_letter s_letter  _letter d_letter a_letter s_letter h_letter  _letter m_letter o_letter dot g_letter o_letter v_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter c_letter e_letter n_letter s_letter u_letter s_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter n_letter e_letter i_letter g_letter h_letter b_letter o_letter r_letter h_letter o_letter o_letter d_letter dot c_letter  _letter f_letter  _letter m_letter  _letter h_letter  _letter t_letter  _letter t_letter  _letter p_letter  _letter c_letter o_letter l_letter o_letter n_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter d_letter y_letter n_letter a_letter m_letter i_letter c_letter dot s_letter t_letter l_letter o_letter u_letter i_letter s_letter  _letter d_letter a_letter s_letter h_letter  _letter m_letter o_letter dot g_letter o_letter v_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter c_letter e_letter n_letter s_letter u_letter s_letter  _letter s_letter l_letter a_letter s_letter h_letter  _letter n_letter e_letter i_letter g_letter h_letter  _letter u_letter n_letter d_letter e_letter r_letter s_letter c_letter o_letter r_letter e_letter  _letter c_letter o_letter m_letter p_letter dot c_letter  _letter f_letter  _letter m_letter
3166,3,PLAIN,Eva,ToBeNormalized,e v a,Eva
3167,6,PLAIN,evil,ToBeNormalized,e v i l,evil
3246,4,PLAIN,valour,ToBeNormalized,vigor,valour
3268,5,PLAIN,riA,ToBeNormalized,r i a,riA
3268,8,PLAIN,Cha,ToBeNormalized,c h a,Cha
3276,1,PLAIN,FUKUHARA,ToBeNormalized,f u k u h a r a,FUKUHARA
3284,1,LETTERS,Var,RemainSelf,Var,v a r
3285,0,PLAIN,FOCUS,ToBeNormalized,f o c u s,FOCUS
3291,15,PLAIN,ESS,ToBeNormalized,e s s,ESS
3302,1,PLAIN,Ur,ToBeNormalized,u r,Ur
3311,8,CARDINAL,X,RemainSelf,X,ten
3337,8,PLAIN,OUTSTANDING,ToBeNormalized,o u t s t a n d i n g,OUTSTANDING
3337,10,PLAIN,IN,ToBeNormalized,i n,IN
3337,13,PLAIN,VARIETY,ToBeNormalized,v a r i e t y,VARIETY
3337,15,PLAIN,MUSIC,ToBeNormalized,m u s i c,MUSIC
3340,9,PLAIN,AN,ToBeNormalized,a n,AN
3340,18,PLAIN,RA,ToBeNormalized,r a,RA
3343,5,PLAIN,MAR,ToBeNormalized,m a r,MAR
3347,5,MEASURE,1/2 cc,ToBeNormalized,one  _letter d_letter a_letter s_letter h_letter  _letter t_letter w_letter o_letter  _letter o_letter,half a c c
3347,8,PLAIN,ULTRAFINE,ToBeNormalized,u l t r a f i n e,ULTRAFINE
3347,14,PLAIN,UltraFine,ToBeNormalized,favorite,UltraFine
3347,16,PLAIN,SHORT,ToBeNormalized,s h o r t,SHORT
3347,22,PLAIN,MICROFINE,ToBeNormalized,m i c r o f i n e,MICROFINE
3350,4,PLAIN,FIN,ToBeNormalized,f i n,FIN
3352,2,PLAIN,Aja,ToBeNormalized,a j a,Aja
3380,15,PLAIN,SEZ,ToBeNormalized,s e z,SEZ
3407,7,PLAIN,so,ToBeNormalized,s o,so
3415,2,PLAIN,No,ToBeNormalized,number,No
3415,5,PLAIN,Ads,ToBeNormalized,a d s,Ads
3505,1,PLAIN,TeX,ToBeNormalized,t e x,TeX
